cik,name,tickers,sector,stratum,sic,member_from,member_to,n_reconstitutions,entry_sector_rank,exit_sector_rank,median_sector_rank,median_float_usd,all_dates
80424,PROCTER & GAMBLE Co,PG,consumer,core,2840,2016-07-01,2020-07-01,4,1,2,2.0,223000000000.0,False
1001039,TWDC Enterprises 18 Corp.,,consumer,core,7990,2016-07-01,2019-07-01,3,2,6,5.0,177900000000.0,False
21344,COCA COLA CO,KO,consumer,core,2080,2016-07-01,,11,3,7,5.0,215914430571.0,True
1018724,AMAZON COM INC,AMZN,consumer,core,5961,2016-07-01,,11,4,1,1.0,944744113598.0,True
354950,"HOME DEPOT, INC.",HD,consumer,core,5211,2016-07-01,,11,5,6,4.0,285600000000.0,True
1166691,COMCAST CORP,"CMCSA,CCZ",consumer,core,4841,2016-07-01,,11,6,12,7.0,170209000000.0,True
77476,PEPSICO INC,PEP,consumer,core,2080,2016-07-01,2017-07-01,1,7,7,7.0,137900000000.0,False
1413329,Philip Morris International Inc.,PM,consumer,core,2111,2016-07-01,,11,8,8,9.0,153000000000.0,True
64803,CVS HEALTH Corp,CVS,consumer,core,5912,2016-07-01,,11,9,17,14.0,86382523283.0,True
764180,"ALTRIA GROUP, INC.",MO,consumer,core,2111,2016-07-01,,11,10,15,15.0,88000000000.0,True
63908,MCDONALDS CORP,MCD,consumer,core,5812,2016-07-01,,11,11,9,10.0,157661991693.0,True
320187,"NIKE, Inc.",NKE,consumer,core,3021,2016-07-01,2026-07-01,10,12,13,12.0,111897502210.0,False
829224,STARBUCKS CORP,SBUX,consumer,core,5810,2016-07-01,,11,13,14,14.0,89800000000.0,True
1105705,"WARNER MEDIA, LLC",,consumer,core,4841,2016-07-01,2019-07-01,3,14,13,14.0,68960000000.0,False
1103982,"Mondelez International, Inc.",MDLZ,consumer,core,2000,2016-07-01,,11,15,16,16.0,76700000000.0,True
60667,LOWES COMPANIES INC,LOW,consumer,core,5211,2016-07-01,2017-07-01,1,16,16,16.0,64300000000.0,False
1532063,Express Scripts Holding Co.,,consumer,core,5912,2016-07-01,2017-07-01,1,17,17,17.0,59987373540.0,False
21665,COLGATE PALMOLIVE CO,CL,consumer,core,2844,2016-07-01,2021-07-01,5,18,16,16.0,61300000000.0,False
37996,FORD MOTOR CO,"F,F-PB,F-PC,F-PD",consumer,core,3711,2016-07-01,2017-07-01,1,19,19,19.0,58530047195.0,False
1467858,General Motors Co,GM,consumer,core,3711,2016-07-01,2017-07-01,1,20,20,20.0,52400000000.0,False
104169,Walmart Inc.,WMT,consumer,core,5331,2017-07-01,,10,9,5,8.0,184527097677.5,False
1637459,Kraft Heinz Co,KHC,consumer,core,2030,2017-07-01,2019-07-01,2,10,19,14.5,79500000000.0,False
1618921,"Walgreens Boots Alliance, Inc.",,consumer,core,5912,2017-07-01,2018-07-01,1,15,15,15.0,73000000000.0,False
109198,TJX COMPANIES INC /DE/,TJX,consumer,core,5651,2017-07-01,2018-07-01,1,19,19,19.0,53583828925.0,False
1091667,"CHARTER COMMUNICATIONS, INC. /MO/",CHTR,consumer,core,4841,2017-07-01,2023-07-01,6,20,18,17.5,66650000000.0,False
1065280,NETFLIX INC,NFLX,consumer,core,7841,2018-07-01,,9,18,3,7.0,192301932760.0,False
1467858,General Motors Co,GM,consumer,core,3711,2018-07-01,2021-07-01,3,20,18,18.0,54700000000.0,False
77476,PEPSICO INC,PEP,consumer,core,2080,2019-07-01,,8,5,10,7.5,194650000000.0,False
1318605,"Tesla, Inc.",TSLA,consumer,core,3711,2019-07-01,2020-07-01,1,19,19,19.0,46570000000.0,False
37996,FORD MOTOR CO,"F,F-PB,F-PC,F-PD",consumer,core,3711,2019-07-01,2020-07-01,1,20,20,20.0,43335618411.0,False
31462,ECOLAB INC.,ECL,consumer,core,2840,2020-07-01,2021-07-01,1,17,17,17.0,56547973473.0,False
89800,SHERWIN WILLIAMS CO,SHW,consumer,core,5200,2020-07-01,2021-07-01,1,19,19,19.0,42201407338.0,False
27419,TARGET CORP,TGT,consumer,core,5331,2020-07-01,2024-07-01,4,20,19,19.5,69062870468.5,False
80424,PROCTER & GAMBLE Co,PG,consumer,core,2840,2021-07-01,,6,2,4,4.0,351000000000.0,False
1744489,Walt Disney Co,DIS,consumer,core,7990,2021-07-01,,6,9,11,9.0,203150000000.0,False
1318605,"Tesla, Inc.",TSLA,consumer,core,3711,2021-07-01,,6,10,2,2.0,565325000000.0,False
60667,LOWES COMPANIES INC,LOW,consumer,core,5211,2021-07-01,,6,13,13,14.0,128400000000.0,False
1001250,ESTEE LAUDER COMPANIES INC,EL,consumer,core,2844,2023-07-01,2024-07-01,1,16,16,16.0,86000000000.0,False
1782754,AZEK Co Inc.,,consumer,core,3089,2024-07-01,2025-07-01,1,1,1,1.0,2796678033000.0,False
89800,SHERWIN WILLIAMS CO,SHW,consumer,core,5200,2024-07-01,,3,20,18,19.0,75067265612.0,False
21665,COLGATE PALMOLIVE CO,CL,consumer,core,2844,2025-07-01,,2,17,19,18.0,76300000000.0,False
31462,ECOLAB INC.,ECL,consumer,core,2840,2026-07-01,,1,20,20,20.0,67088288734.0,False
34088,EXXON MOBIL CORP,,energy,core,2911,2016-07-01,,11,1,1,1.0,350000000000.0,True
93410,CHEVRON CORP,CVX,energy,core,2911,2016-07-01,,11,2,2,2.0,236200000000.0,True
87347,SLB LIMITED/NV,SLB,energy,core,1389,2016-07-01,,11,3,12,5.0,66860000000.0,True
1163165,CONOCOPHILLIPS,COP,energy,core,2911,2016-07-01,,11,4,3,4.0,80900000000.0,True
1506307,"KINDER MORGAN, INC.","KMI,EP-PC",energy,core,4922,2016-07-01,,11,5,7,10.0,36152128132.0,True
821189,EOG RESOURCES INC,EOG,energy,core,1311,2016-07-01,,11,6,6,6.0,63532000000.0,True
797468,OCCIDENTAL PETROLEUM CORP /DE/,"OXY,OXY-WT",energy,core,1311,2016-07-01,,11,7,15,7.0,51700000000.0,True
1534701,Phillips 66,PSX,energy,core,2911,2016-07-01,,11,8,11,9.0,42300000000.0,True
773910,ANADARKO PETROLEUM CORP,,energy,core,1311,2016-07-01,2020-07-01,4,9,11,11.0,32250000000.0,False
107263,"WILLIAMS COMPANIES, INC.",WMB,energy,core,4922,2016-07-01,2017-07-01,1,10,10,10.0,39345468396.0,False
1061219,ENTERPRISE PRODUCTS PARTNERS L.P.,"EPD,EPDU",energy,core,4922,2016-07-01,,11,11,13,11.0,39610000000.0,True
45012,HALLIBURTON CO,HAL,energy,core,1389,2016-07-01,2026-07-01,10,12,20,18.0,23850000000.0,False
1035002,VALERO ENERGY CORP/TX,VLO,energy,core,2911,2016-07-01,,11,13,14,12.0,35500000000.0,True
1483096,WILLIAMS PARTNERS L.P.,,energy,core,4922,2016-07-01,2019-07-01,3,14,9,14.0,28408143353.0,False
1510295,Marathon Petroleum Corp,MPC,energy,core,2911,2016-07-01,,11,15,10,10.0,36700000000.0,True
1276187,Energy Transfer LP,"ET,ET-PI",energy,core,4922,2016-07-01,2017-07-01,1,16,16,16.0,25400000000.0,False
1012569,"Energy Transfer, LP",,energy,core,4922,2016-07-01,2018-07-01,2,17,17,17.0,21715000000.0,False
1090012,DEVON ENERGY CORP/DE,DVN,energy,core,1311,2016-07-01,2018-07-01,2,18,18,18.0,21600000000.0,False
1373835,Spectra Energy Corp.,,energy,core,4923,2016-07-01,2017-07-01,1,19,19,19.0,22000000000.0,False
6769,APACHE CORP,,energy,core,1311,2016-07-01,2020-07-01,4,20,20,19.5,19688369297.0,False
1038357,PIONEER NATURAL RESOURCES CO,,energy,core,1311,2017-07-01,2025-07-01,8,12,8,12.5,29474102514.5,False
1126975,"Magellan Midstream Partners, L.P.",,energy,core,4610,2017-07-01,2018-07-01,1,19,19,19.0,17271907668.0,False
4447,HESS CORP,,energy,core,2911,2017-07-01,2018-07-01,1,20,20,20.0,16770000000.0,False
107263,"WILLIAMS COMPANIES, INC.",WMB,energy,core,4922,2018-07-01,,9,16,5,13.0,32986794536.0,False
1161154,"Energy Transfer Operating, L.P.",,energy,core,4610,2018-07-01,2020-07-01,2,17,17,17.0,21645000000.0,False
1039684,ONEOK INC /NEW/,OKE,energy,core,4923,2018-07-01,,9,18,9,16.0,27400000000.0,False
1358071,CONCHO RESOURCES INC,,energy,core,1311,2018-07-01,2021-07-01,3,20,17,19.0,20433760692.0,False
1090012,DEVON ENERGY CORP/DE,DVN,energy,core,1311,2019-07-01,2020-07-01,1,16,16,16.0,22500000000.0,False
895728,ENBRIDGE INC,"ENB,EBBNF,EBBGF,EBGEF,EBRGF,EBRZF,ENBFF,ENBGF,ENBHF,ENBMF,ENBNF,ENBOF,ENBRF,ENBSF,ENFFF,ENNPF",energy,core,4610,2020-07-01,,7,3,4,4.0,77500000000.0,False
1276187,Energy Transfer LP,"ET,ET-PI",energy,core,4922,2020-07-01,,7,14,8,14.0,30570000000.0,False
4447,HESS CORP,,energy,core,2911,2020-07-01,2026-07-01,6,19,15,16.5,26881000000.0,False
1539838,"Diamondback Energy, Inc.",FANG,energy,core,1311,2020-07-01,2021-07-01,1,20,20,20.0,15900000000.0,False
1126975,"Magellan Midstream Partners, L.P.",,energy,core,4610,2021-07-01,2022-07-01,1,19,19,19.0,9686843947.0,False
1552000,MPLX LP,"MPLX,MPLXP",energy,core,4610,2021-07-01,2022-07-01,1,20,20,20.0,6800000000.0,False
1090012,DEVON ENERGY CORP/DE,DVN,energy,core,1311,2022-07-01,,5,18,19,18.0,29500000000.0,False
1539838,"Diamondback Energy, Inc.",FANG,energy,core,1311,2022-07-01,,5,20,18,19.0,23400000000.0,False
1389170,Targa Resources Corp.,TRGP,energy,core,4922,2025-07-01,,2,19,16,17.5,32418400000.0,False
33213,EQT Corp,EQT,energy,core,1311,2026-07-01,,1,17,17,17.0,34700000000.0,False
895126,EXPAND ENERGY Corp,EXE,energy,core,1311,2026-07-01,,1,20,20,20.0,19600000000.0,False
72971,WELLS FARGO & COMPANY/MN,"WFC,WFC-PY,WFC-PL,WFC-PC,WFCNP,WFC-PA,WFC-PD,WFC-PZ",financials,core,6021,2016-07-01,,11,1,6,6.0,208700000000.0,True
1067983,BERKSHIRE HATHAWAY INC,"BRK-B,BRK-A",financials,core,6331,2016-07-01,,11,2,1,1.0,417300000000.0,True
19617,JPMORGAN CHASE & CO,"JPM,JPM-PC,AMJB,JPM-PD,JPM-PJ,JPM-PK,JPM-PL,JPM-PM,VYLD",financials,core,6021,2016-07-01,,11,3,2,2.0,354989423493.0,True
70858,BANK OF AMERICA CORP /DE/,"BAC,BML-PG,BML-PL,BAC-PB,BAC-PK,BAC-PE,BAC-PL,BAC-PM,BAC-PN,BAC-PO,BAC-PP,BAC-PQ,BAC-PS,BACRP,BML-PH,BML-PJ,MER-PK",financials,core,6021,2016-07-01,,11,4,5,5.0,250136457342.0,True
831001,CITIGROUP INC,"C,C-PN,C-PR",financials,core,6021,2016-07-01,,11,5,11,7.0,123000000000.0,True
1403161,VISA INC.,V,financials,core,7389,2016-07-01,,11,6,3,3.0,272700000000.0,True
1141391,Mastercard Inc,MA,financials,core,7389,2016-07-01,,11,7,4,5.0,261300000000.0,True
886982,GOLDMAN SACHS GROUP INC,"GS,GSCE,GS-PA,GS-PC,GS-PD",financials,core,6211,2016-07-01,,11,8,8,9.0,88600000000.0,True
5272,"AMERICAN INTERNATIONAL GROUP, INC.",AIG,financials,core,6331,2016-07-01,2021-07-01,5,9,20,15.0,56480000000.0,False
36104,US BANCORP \DE\,"USB,USB-PA,USB-PH,USB-PP,USB-PQ,USB-PR,USB-PS",financials,core,6021,2016-07-01,2024-07-01,8,10,17,10.0,79250000000.0,False
895421,MORGAN STANLEY,"MS,MS-PK,MS-PE,MS-PA,MS-PF,MS-PI,MS-PL,MS-PO,MS-PP,MS-PQ",financials,core,6211,2016-07-01,,11,11,7,10.0,79320949858.0,True
1065088,EBAY INC,EBAY,financials,core,7389,2016-07-01,2017-07-01,1,12,12,12.0,67436299797.0,False
1099219,METLIFE INC,"MET,MET-PA,MET-PE,MET-PF",financials,core,6311,2016-07-01,2021-07-01,5,13,19,17.0,46500000000.0,False
1364742,"BlackRock Finance, Inc.",,financials,core,6211,2016-07-01,2025-07-01,9,14,9,11.0,79100000000.0,False
713676,"PNC FINANCIAL SERVICES GROUP, INC.",PNC,financials,core,6021,2016-07-01,2021-07-01,5,15,15,15.0,59800000000.0,False
927628,CAPITAL ONE FINANCIAL CORP,"COF,COF-PI,COF-PJ,COF-PK,COF-PL,COF-PN",financials,core,6021,2016-07-01,2017-07-01,1,16,16,16.0,47456297783.0,False
1390777,Bank of New York Mellon Corp,"BNY,BNY-PK",financials,core,6022,2016-07-01,2020-07-01,4,17,17,16.5,49509176735.0,False
1137774,PRUDENTIAL FINANCIAL INC,"PRU,PFH,PRH,PRS",financials,core,6311,2016-07-01,2017-07-01,1,18,18,18.0,39550000000.0,False
316709,SCHWAB CHARLES CORP,"SCHW,SCHW-PD,SCHW-PJ",financials,core,6211,2016-07-01,2017-07-01,1,19,19,19.0,38000000000.0,False
896159,Chubb Ltd,CB,financials,core,6331,2016-07-01,2022-07-01,6,20,15,14.5,59500000000.0,False
1633917,"PayPal Holdings, Inc.",PYPL,financials,core,7389,2017-07-01,2025-07-01,8,16,17,10.5,89600000000.0,False
62709,"MARSH & MCLENNAN COMPANIES, INC.",MRSH,financials,core,6411,2017-07-01,2018-07-01,1,18,18,18.0,35474889954.0,False
86312,"TRAVELERS COMPANIES, INC.",TRV,financials,core,6331,2017-07-01,2018-07-01,1,19,19,19.0,34172576191.0,False
1222333,SPDR GOLD TRUST,GLD,financials,core,6221,2017-07-01,2018-07-01,1,20,20,20.0,32760852000.0,False
316709,SCHWAB CHARLES CORP,"SCHW,SCHW-PD,SCHW-PJ",financials,core,6211,2018-07-01,2021-07-01,3,18,18,18.0,51200000000.0,False
1137774,PRUDENTIAL FINANCIAL INC,"PRU,PFH,PRH,PRS",financials,core,6311,2018-07-01,2019-07-01,1,19,19,19.0,46180000000.0,False
1156375,CME GROUP INC.,CME,financials,core,6200,2018-07-01,,9,20,19,17.0,68500000000.0,False
927628,CAPITAL ONE FINANCIAL CORP,"COF,COF-PI,COF-PJ,COF-PK,COF-PL,COF-PN",financials,core,6021,2019-07-01,2020-07-01,1,20,20,20.0,43100000000.0,False
62709,"MARSH & MCLENNAN COMPANIES, INC.",MRSH,financials,core,6411,2020-07-01,2022-07-01,2,16,17,16.5,52128565812.0,False
1571949,"Intercontinental Exchange, Inc.",ICE,financials,core,6200,2020-07-01,2021-07-01,1,17,17,17.0,48031836007.0,False
1136893,"Fidelity National Information Services, Inc.",FIS,financials,core,7389,2021-07-01,2023-07-01,2,9,14,11.5,85121757298.0,False
798354,FISERV INC,FISV,financials,core,7389,2021-07-01,2023-07-01,2,13,20,16.5,67822821953.5,False
1543151,"Uber Technologies, Inc",UBER,financials,core,7389,2021-07-01,2023-07-01,2,18,13,15.5,71250000000.0,False
