cik,name,tickers,sector,sic,member_from,member_to,n_reconstitutions,entry_sector_rank,exit_sector_rank,median_sector_rank,median_float_usd,all_dates
80424,PROCTER & GAMBLE Co,PG,consumer,2840,2016-07-01,2020-07-01,4,1,2,2.0,223000000000.0,False
1001039,TWDC Enterprises 18 Corp.,,consumer,7990,2016-07-01,2019-07-01,3,2,6,5.0,177900000000.0,False
21344,COCA COLA CO,KO,consumer,2080,2016-07-01,,11,3,8,5.0,215914430571.0,True
1018724,AMAZON COM INC,AMZN,consumer,5961,2016-07-01,,11,4,1,1.0,944744113598.0,True
354950,"HOME DEPOT, INC.",HD,consumer,5211,2016-07-01,,11,5,7,4.0,285600000000.0,True
1166691,COMCAST CORP,"CMCSA,CCZ",consumer,4841,2016-07-01,,11,6,13,7.0,170209000000.0,True
77476,PEPSICO INC,PEP,consumer,2080,2016-07-01,2017-07-01,1,7,7,7.0,137900000000.0,False
1413329,Philip Morris International Inc.,PM,consumer,2111,2016-07-01,,11,8,9,9.0,153000000000.0,True
64803,CVS HEALTH Corp,CVS,consumer,5912,2016-07-01,2025-07-01,9,9,19,14.0,88547881979.0,False
764180,"ALTRIA GROUP, INC.",MO,consumer,2111,2016-07-01,2023-07-01,7,10,19,11.0,96000000000.0,False
63908,MCDONALDS CORP,MCD,consumer,5812,2016-07-01,,11,11,10,11.0,157661991693.0,True
320187,"NIKE, Inc.",NKE,consumer,3021,2016-07-01,2026-07-01,10,12,14,12.0,111897502210.0,False
829224,STARBUCKS CORP,SBUX,consumer,5810,2016-07-01,,11,13,15,15.0,89800000000.0,True
1105705,"WARNER MEDIA, LLC",,consumer,4841,2016-07-01,2019-07-01,3,14,13,14.0,68960000000.0,False
1103982,"Mondelez International, Inc.",MDLZ,consumer,2000,2016-07-01,,11,15,17,17.0,76700000000.0,True
60667,LOWES COMPANIES INC,LOW,consumer,5211,2016-07-01,2017-07-01,1,16,16,16.0,64300000000.0,False
1532063,Express Scripts Holding Co.,,consumer,5912,2016-07-01,2017-07-01,1,17,17,17.0,59987373540.0,False
21665,COLGATE PALMOLIVE CO,CL,consumer,2844,2016-07-01,2021-07-01,5,18,16,16.0,61300000000.0,False
37996,FORD MOTOR CO,"F,F-PB,F-PC,F-PD",consumer,3711,2016-07-01,2017-07-01,1,19,19,19.0,58530047195.0,False
1467858,General Motors Co,GM,consumer,3711,2016-07-01,2017-07-01,1,20,20,20.0,52400000000.0,False
104169,Walmart Inc.,WMT,consumer,5331,2017-07-01,,10,9,6,8.5,184527097677.5,False
1637459,Kraft Heinz Co,KHC,consumer,2030,2017-07-01,2019-07-01,2,10,19,14.5,79500000000.0,False
